hexbin 1.28.1
highcharter 0.8.2
highr 0.8
HistData 0.8-6
Hmisc 4.4-1
hms 0.5.3
hnp 1.2-6
htmlTable 2.0.1
htmltools 0.5.0
htmlwidgets 1.5.1
httpcode 0.3.0
httpuv 1.5.4
httr 1.4.2
huge 1.3.4.1
hunspell 3.0
hypergeo 1.2-13
igraph 1.2.5
igraphdata 1.0.1
imager 0.42.3
imputeMissings 0.0.3
ineq 0.2-13
influenceR 0.1.0
InformationValue 1.2.3
infotheo 1.2.0
ini 0.3.1
inline 0.3.15
insight 0.9.0
intervals 0.15.2
intubate 1.0.0
inum 1.0-1
ipred 0.9-9
irlba 2.3.3
irr 0.84.1
ISLR 1.2
Iso 0.0-18.1
isoband 0.2.2
ISOcodes 2020.03.16
iterators 1.0.12
itertools 0.1-3
janeaustenr 0.1.5
janitor 2.0.1
JavaGD 0.6-2
JGR 1.8-7
jpeg 0.1-8.1
jsonlite 1.7.0
jsonvalidate 1.1.0
kableExtra 1.1.0
keras 2.3.0.0
kernlab 0.9-29
KernSmooth 2.23-17
kinship2 1.8.5
kknn 1.3.1
klaR 0.6-15
knitr 1.29
ks 1.11.7
kyotil 2019.11-22
labeling 0.3
labelled 2.5.0
laeken 0.5.1
lambda.r 1.2.4
LaplacesDemon 16.1.4
lars 1.2
later 1.1.0.1
lattice 0.20-41
latticeExtra 0.6-29
lava 1.6.7
lavaan 0.6-7
lazyeval 0.2.2
lda 1.4.2
leaflet 2.0.3
leaflet.providers 1.9.0
leaps 3.1
LearnBayes 2.15.1
lhs 1.0.2
libcoin 1.0-6
LiblineaR 2.10-8
lifecycle 0.2.0
lime 0.5.1
limSolve 1.5.6
linprog 0.9-2
listenv 0.8.0
lme4 1.1-23
lmerTest 3.1-2
lmtest 0.9-37
locfit 1.5-9.4
logistf 1.23
loo 2.3.1
lpSolve 5.6.15
lpSolveAPI 5.5.2.0-17.7
ltm 1.1-1
lubridate 1.7.9
magic 1.5-9
magick 2.4.0
magrittr 1.5
makedummies 1.2.1
manipulateWidget 0.10.1
mapproj 1.2.7
maps 3.3.0
maptools 1.0-1
markdown 1.1
MASS 7.3-52
matlab 1.0.2
Matrix 1.2-18
matrixcalc 1.0-3
MatrixModels 0.4-1
matrixStats 0.56.0
maxLik 1.4-0
mc2d 0.1-18
mclust 5.4.6
mcmc 0.9-7
MCMCpack 1.4-9
mda 0.5-2
memoise 1.1.0
metafor 2.4-0
Metrics 0.1.4
mgcv 1.8-32
mice 3.11.0
mime 0.9
miniUI 0.1.1.1
minpack.lm 1.2-1
minqa 1.2.4
mirt 1.32.1
misc3d 0.8-4
miscTools 0.6-26
missForest 1.4
mitools 2.4
