package,revdeps
urca,3
urltools,2
usethis,2
utf8,1
uuid,3
V8,2
vcd,2
vctrs,10
vegan,2
venneuler,1
viridis,7
viridisLite,4
visdat,1
visNetwork,2
webshot,3
whisker,4
withr,21
wordcloud,1
wrapr,6
xfun,7
xlsx,1
xlsxjars,1
XML,6
xml2,10
xopen,1
xtable,3
xts,8
yaml,12
zeallot,1
zip,2
zoo,20
